tree,asite,site,ROW,COL,REP,SET,mum,dad,selection_type,rot,pith_year,pith_age,clb15,ht15,dbh15,heartwood,sapwood,sapwood_heartwood_ratio,cath,cbth,csab,cmyr,clim,cmono,cathprop,csabprop,fibre,cell,lignin,fath,fbth,fsab,fmyr,flim,fmono,fathprop,fsabprop,capi,cthu,fapi,fthu,clb15,plicatic_acid,gamma_thujaplicin,beta_thujaplicin,beta_thujaplicinol,thujic_acid,methyl_thujate,alpha_thujaplicin,plicatic_acid_PAR_CW,gamma_thujaplicin_PAR_CW,beta_thujaplicin_PAR_CW,beta_thujaplicinol_PAR_CW,thujic_acid_PAR_CW,methyl_thujate_PAR_CW,alpha_thujaplicin_PAR_CW,A,B,C,D,E,F,G,H,I,nezukone,thujaplicatin_methyl_ether,beta_dolabrin,thujaplicins,thujaplicins_PAR_CW,lignans_PAR_CW,Fhat3,HT_BLUP
10001,EAST,1,1,33,29,5,173,402,VOL,0,2001,16,2,800,113,42.177,25.716,0.609716196,28874,7720,2664.3,2223.5,607.3,50616,0.570452031,0.052637506,55.3,20.64,34.37,18288,1730,4814,917,298,30636,0.596944771,0.157135396,1274,312.3,699.28814,177.20056,2,0,138.9,16.8,60,2568.1,0,165.1,0,7.2,0.76,0.66,11.55,0,6.2,2.1,3.42,2.65,14.38,2.42,21.2,7.77,0,12.88,16.65,8.34,0.43,380.8,15.25,39,0.208428,3.569974348
10002,EAST,1,2,36,29,5,2,164,VOL,0,2000,17,2,920,156,70.493,24.257,0.344105088,57034,16473,4864.3,3765.2,1239.4,96142,0.593226686,0.050594953,55.82,19.98,35.65,22360,2501,5190,1256,391,36351,0.615113752,0.142774614,2395,524.2,929.36432,229.9917,2,0,122.2,91.6,44.5,1231.1,0,267,0,6.31,3.3,0.47,5.52,0,10.02,0.7,1.64,0.73,2.01,1,8.03,4.97,0,10.67,10.75,4.3,0.35,525.3,20.45,11.6,0.401061,15.69447969
10003,EAST,1,6,36,29,3,344,430,VOL,0,2002,15,2,810,125,46.21456522,35.411,0.766230296,25158,4926,1840.1,1164.9,586,41959,0.599585309,0.043854715,57.53,18.42,38.85,23395,2881,4743,1004,360,37973,0.616095647,0.124904537,1127,165.4,840.56652,196.6867,2,0,294.4,64,44.5,2662.2,0,302,0,11.99,2.33,0.5,12,0,11.38,1.9,2.01,1.37,4.86,0.63,11.66,4.27,0.04,8.54,13.58,1.99,0.63,704.9,26.83,18.6,-0.147394,0.086315117
10004,EAST,1,5,33,29,3,22,421,HTWD,0,2000,17,2,880,139,70.302,15.896,0.22611021,25377,7888,2064.8,1709,526.1,45878,0.553140939,0.045006321,57.3,21.14,35.86,17592,2560,3548,716,270,28389,0.619676635,0.124977984,1029,238.8,683.70428,147.76109,2,0,491.9,171.2,46.1,1693.4,17,375.1,0,19.08,5.56,0.52,7.62,0.07,14.57,0,2.62,0.78,3.31,1.37,10.57,1.06,0.15,1.76,47.29,2.02,0,1084.3,39.73,16.5,0.200546,10.88727887
10005,EAST,1,4,34,29,5,1,191,VOL,0,2001,16,2,900,141,60.53430851,17.956,0.296625177,39806,9835,2453.4,2599.2,744.4,65287,0.609707905,0.037578691,54.85,20.28,34.36,22989,3319,3148,556,269,35200,0.653096591,0.089431818,1564,332.7,633.31176,113.46192,2,0,80.2,21.4,27.1,1347.3,69.4,111.3,0,4.58,0.98,0.25,6.05,0.3,4.26,0.6,0.64,0.51,1.24,0.71,5.8,2.48,0,8.44,4.94,3,0.18,240,10.25,7.6,0.258858,35.86471711
10006,EAST,1,7,33,29,3,221,430,VOL,0,2001,16,2,900,121,52.001,22.272,0.428299456,29795,5448,2838.4,2636.3,720.8,52527,0.56723209,0.054036971,53.93,13.32,40.54,20197,3217,6910,1278,370,36975,0.546233942,0.186883029,1506,383.6,895.98462,247.50192,2,387,715.2,77.6,123.5,2457.8,41.3,415.9,1.47,26.6,2.58,1.57,11.09,0.18,16.15,1,9.8,1.62,3.69,2.2,11.87,7.35,0.87,15.92,39.88,8.01,0.68,1332.2,47.58,26.87148399,0.208531,38.55418554
10007,EAST,1,8,35,29,3,222,402,VOL,0,2001,16,2,930,114,37.089,26.616,0.717625172,42466,10343,3002.4,3340.9,878.1,70154,0.605325427,0.042797275,58.23,20.71,37.34,20398,2839,4384,912,320,33405,0.610627152,0.131237839,1975,412.4,795.0519,163.49481,2,294.2,398.2,32.9,75.5,4211.3,26.1,325.2,1.08,15.62,1.35,0.91,19.01,0.11,11.85,2.29,5.65,7.46,8.5,1.4,21.06,10.45,0.21,15.19,24.46,5.07,0.63,831.8,30.36,36.28013924,0.220724,51.51180107
10008,EAST,1,12,34,29,2,531,329,VOL,0,2001,16,3,780,98,36.982,17.448,0.47179709,34521,7849,3184.2,2858.6,799.1,60331,0.5721934,0.052778837,51.43,15.13,35.96,15189,2434,4934,883,273,27297,0.556434773,0.180752464,1655,444.2,693.32107,180.73946,3,0,482.5,333.8,14,4042,0,155,0,19.04,10.57,0.08,18.23,0,5.91,2,1.03,0.82,2.86,0.83,3.92,2.97,0.1,5.96,5.99,1.42,0.35,985.3,35.95,7.8,-0.15184,18.92467179
10009,EAST,1,13,35,19,7,58,158,VOL,0,2001,16,2,890,152,68.8575,22.9245,0.332926696,32531,6390,2615.5,1792.1,751.6,56575,0.575006628,0.046230667,60.89,20.82,39.77,25222,4185,6365,1313,434,43658,0.577717715,0.145792295,1683,261,1168.99782,247.42795,2,0,101.4,67.1,33,1854.6,13.9,203.1,0,5.37,2.51,0.33,8.34,0.06,7.94,1.22,1.61,0.7,1.61,0.48,9.38,2.6,0,7.52,9.99,2.7,0.65,404.6,16.8,12.6,0.0949231,24.61378422
10010,EAST,1,12,36,29,2,204,426,VOL,0,2001,16,2,980,150,81.682,13.927,0.170502681,29281,8541,1710,1928,579.5,48430,0.604604584,0.035308693,57.2,16.98,40.08,22853,3779,2986,1181,370,36180,0.631647319,0.082531786,1272,238.8,911.90438,167.64303,2,0,0,720.2,21.4,2529.5,44.4,430.9,0,0,22.34,0.16,11.38,0.19,16.8,1.34,5.16,2.85,18.75,1.34,17.29,2.7,0,7.99,8.42,3.82,0.9,1172.5,40.2,41.3,0.188032,40.98152304
10011,EAST,1,14,36,19,7,173,402,VOL,0,2000,17,2,830,106,35.112,15.324,0.436431989,30997,10610,3139.7,2278.2,733.2,55891,0.554597341,0.056175413,57.73,20.35,37.24,15379,2605,1867,97,153,23753,0.647455058,0.078600598,1430,356,335.77348,59.71602,2,60.8,179.3,32.6,41,1196.4,22.6,76,0.16,7.74,1.35,0.46,5.38,0.1,2.96,0.54,2.57,1.27,2.9,0.57,8.15,6,0,12.9,7.43,4.48,0.43,328.9,12.94,13.7626498,0.194505,10.89776592
10012,EAST,1,14,33,19,7,531,158,VOL,0,2001,16,2,900,135,55.264,14.195,0.256857991,43794,12407,2762.8,2464.4,1018.3,67609,0.647753997,0.040864382,57.26,21.07,36.03,14247,1645,559,41,70,19407,0.734116556,0.02880404,1497,263.6,159.59529,14.15765,2,0,252.1,196.2,42,3518.9,0,153,0,10.55,6.35,0.46,15.87,0,5.71,1.5,1.21,0.84,2.16,0.46,3.52,2.55,0.03,6.91,6.82,2.61,0.5,643.3,23.57,6.9,0.267851,32.2124648
10013,EAST,1,15,33,19,7,784,444,VOL,0,2001,16,2,800,117,50.823,18.777,0.36945871,24251,7892,1922.7,1249,545.6,41385,0.58598526,0.046458862,56.51,20.82,35.4,11776,2143,2770,496,191,20535,0.573459946,0.134891648,1088,151.7,478.91081,98.85676,2,0,62.1,82.8,18,3481.8,13.6,71.6,0,3.72,2.92,0.15,15.7,0.06,2.68,1.66,2.4,1.5,7.49,0.25,6.68,4.02,0.07,11.08,6.2,3.36,0.31,234.5,9.78,16.6,0.216078,10.57008545
10014,EAST,1,15,36,19,7,430,181,VOL,0,2002,15,2,760,102,31.352,21.683,0.691598622,29771,7921,1932,1763.4,572,46622,0.638561194,0.041439664,55.4,18.3,36.96,17996,2307,2574,409,241,27322,0.658663348,0.094209794,1177,218.1,621.87902,93.86853,2,0,595.2,160.8,127.4,3897.1,0,478.9,0,22.86,5.26,1.59,17.58,0,18.56,1.71,3.89,2.35,10.51,1.15,21.22,5.09,0.09,9.37,19.85,3.87,0.43,1362.3,48.7,35.6,0.294109,18.80733136
10015,EAST,1,20,35,19,6,204,126,VOL,0,2002,15,2,790,91,32.49633772,14.624,0.450019942,14800,5455,1667.3,987.7,309.2,27017,0.547803235,0.061712996,54.54,14.19,40.23,10538,1910,2453,490,182,18101,0.58217778,0.135517375,676,181.3,428.34831,98.70932,2,0,841.8,124.7,227.7,1602.3,0,67.1,0,32.71,4.44,2.84,7.18,0,2.54,0.62,7.36,3.69,7.3,0.89,13.8,2.38,0.61,7.84,26.17,3.26,0.65,1261.3,43.18,28.5,0.392499,9.651672806
