FID	IID	NOMISS	Fhat1	Fhat2	Fhat3	generation	HT_BLUP	type	line	total_mono	location	family
111-221-S5	111-221-S5	7908	0.68745	0.767393	0.768709	S5	NA	s	1_1	140000	greenhouse	1
1022-113-S5	1022-113-S5	7863	0.649114	0.80832	0.77024	S5	NA	s	10_2	20000	greenhouse	10
1654-454-S5	1654-454-S5	7490	0.312205	0.834133	0.616627	S5	NA	r	16_5	34000	greenhouse	16
1721-111-S5	1721-111-S5	7834	0.371907	0.785853	0.620557	S5	NA	s	17_2	36000	greenhouse	17
1755-545-S5	1755-545-S5	7900	0.50277	0.779994	0.682838	S5	NA	r	17_5	56000	greenhouse	17
2121-111-S5	2121-111-S5	7858	0.451696	0.825644	0.680156	S5	NA	s	21_2	31000	greenhouse	21
2165-444-S5	2165-444-S5	7914	0.586684	0.735009	0.702166	S5	NA	r	21_6	29000	greenhouse	21
2323-211-S5	2323-211-S5	7734	0.168636	0.852862	0.55303	S5	NA	s	23_2	46000	greenhouse	23
2923-121-S5	2923-121-S5	7914	0.421888	0.813466	0.658996	S5	NA	s	29_2	13000	greenhouse	29
2944-565-S5	2944-565-S5	7929	0.46477	0.816933	0.682155	S5	NA	r	29_4	22000	greenhouse	29
646-454-S5	646-454-S5	6744	0.336277	0.78526	0.608366	S5	NA	r	6_4	28000	greenhouse	6
1022-113-S4	1022-113-S4	7863	0.573228	0.73875	0.697512	S4	6.09	s	10_2	35000	map_22	10
1056-454-S4	1056-454-S4	7828	0.469042	0.76746	0.660152	S4	-0.78	r	10_5	35000	map_22	10
111-221-S4	111-221-S4	7908	0.61912	0.662391	0.682043	S4	1.65	s	1_1	33000	map_22	1
1332-111-S4	1332-111-S4	7886	0.479504	0.708199	0.635317	S4	-0.25	s	13_3	89000	map_22	13
1345-544-S4	1345-544-S4	7861	0.505294	0.72864	0.658501	S4	-3.66	r	13_4	63000	map_22	13
1611-211-S4	1611-211-S4	7915	0.632919	0.675662	0.695604	S4	-2.03	s	16_1	21000	map_22	16
1654-454-S4	1654-454-S4	7490	0.253466	0.681642	0.511012	S4	-4.56	r	16_5	60000	map_22	16
1721-111-S4	1721-111-S4	7834	0.344117	0.744529	0.586	S4	8.22	s	17_2	63000	map_22	17
1755-545-S4	1755-545-S4	7900	0.452043	0.666856	0.600905	S4	1.2	r	17_4	40000	map_22	17
1922-111-S4	1922-111-S4	7868	0.64471	0.720658	0.724245	S4	3.59	s	19_2	38000	map_22	19
